no,display,category,name,address,phone1,phone2,memo1,memo2,lat,lng,area
1,1,児童館,もんぜん児童館,石川県輪島市門前町鬼屋４?２０,(0768)0768-42-3166,,輪島市,,37.288661,136.765627,
2,1,児童館,輪島市子育て支援センター・児童センター,石川県輪島市河井町2-287-1,(0768)0768-22-8031,,輪島市,輪島市ふれあい健康センター,37.394134,136.901226,
3,1,図書館,輪島市立図書館,石川県輪島市河井町２０?１?１,(0768)0768-22-2926,,,,37.38865409661615,136.90595648098565,
4,1,図書館,輪島市立門前図書館,石川県輪島市門前町走出２?２,(0768)0768-42-0129,,,,37.288614,136.769343,
5,1,子どもの公園,一本松総合運動公園,石川県輪島市河井町１４,0768-23-1145,,,,37.39160804147699,136.90926896958922,
6,1,子どもの公園,鳳来山公園,石川県輪島市鳳至町,0768-22-6588,,,,37.4003,136.89655,
7,1,公民館,輪島公民館,石川県輪島市河井町20-1-1（文化会館2階）,0768-22-2226,0768-23-8239,,,37.388555,136.905931,
8,1,公民館,大屋公民館,石川県輪島市小伊勢町丸垣内0768-22-1,0768-22-2236,0768-22-2236,,,37.381204,136.885942,
9,1,公民館,河原田公民館,石川県輪島市西脇町60-1,0768-22-2235,0768-22-2235,,,37.357283,136.908341,
10,1,公民館,鵠巣公民館,石川県輪島市深見町65-33-1,0768-22-2237,0768-22-2237,,,37.410582,136.969667,
11,1,公民館,西保公民館,石川県輪島市大沢町ホサソ201-3,0768-36-2001,0768-36-2034,,,37.375189,136.803046,
12,1,公民館,三井公民館,石川県輪島市三井町長沢2-12-1,0768-26-1211,0768-26-1247,,,37.315432,136.902699,
13,1,公民館,南志見公民館,石川県輪島市里町32-36,0768-34-1001,0768-34-1230,,,37.430279,137.034114,
14,1,公民館,町野公民館,石川県輪島市町野町粟蔵川原田22-1,0768-32-0316,0768-32-1231,,,37.423336,137.088106,
15,1,公民館,港公民館,石川県輪島市輪島崎町1-211-4,0768-22-1391,0768-22-1391,,,37.403272,136.899898,
16,1,公民館,鳳至公民館,石川県輪島市鳳至町石浦町83-1,0768-22-7620,0768-22-7640,,,37.3985,136.896993,
17,1,公民館,剱地公民館,石川県輪島市門前町剱地ツ60,0768-45-1833,0768-45-1833,,,37.231822,136.708634,
18,1,公民館,阿岸公民館,石川県輪島市門前町南ナ17,0768-43-1063,0768-43-1063,,,37.253950739826806,136.73283431258392,
19,1,公民館,黒島公民館,石川県輪島市門前町黒島町高池45,0768-43-1062,0768-43-1062,,,37.278903,136.735765,
20,1,公民館,諸岡公民館,石川県輪島市門前町道下7-175,0768-43-1061,0768-43-1061,,,37.288391,136.745284,
21,1,公民館,門前公民館,石川県輪島市門前町走出6-92-2,0768-42-0916,0768-42-1906,,,37.287803,136.767804,
22,1,公民館,本郷公民館,石川県輪島市門前町二又川4-4-1,0768-42-0636,0768-42-0636,,,37.284803,136.826977,
23,1,公民館,浦上公民館,石川県輪島市門前町浦上8-58,0768-42-0558,0768-42-0558,,,37.305719,136.797698,
24,1,公民館,七浦公民館,石川県輪島市門前町鵜山12-50,0768-46-2375,0768-46-2375,,,37.345382,136.752941,
,1,子どもの公園,港コミュニティーセンター子どもの広場,輪島崎町1部211-4,,,,,37.4031944444,136.8998194444,351
,1,子どもの公園,海士町子どもの広場,海士町天地15,,,,,37.4016805556,136.8973722222,231
,1,子どもの公園,鳳来山子どもの広場,鳳至町石浦町12,,,,,37.3994805556,136.8966944444,250
,1,子どもの公園,上町小公園,鳳至町上町156-22,,,,,37.3953111111,136.8985222222,1090
,1,子どもの公園,夕陽ヶ丘子どもの広場,堀町161-3,,,,,37.3976861111,136.8905916667,518
,1,子どもの公園,平成公園,平成町10,,,,,37.3937888889,136.8927972222,288.55
,1,子どもの公園,おがせ公園,平成町52,,,,,37.3936527778,136.8936916667,215.84
,1,子どもの公園,南町子どもの広場,堀町33-1,,,,,37.3900805556,136.8956388889,840.9
,1,子どもの公園,二勢町子どもの広場,二勢町51,,,,,37.3877333333,136.8969972222,797
,1,子どもの公園,気勝平汐見台公園,気勝平町129,,,,,37.3798583333,136.8944333333,1716
,1,子どもの公園,気勝平児童公園,気勝平町2416,,,,,37.3823055556,136.8975638889,3170
,1,子どもの公園,宮川町子どもの広場,杉平町深見田13-6,,,,,37.3873055556,136.9065805556,130.64
,1,子どもの公園,中浜町子どもの広場,河井町4部地先,,,,,37.3958805556,136.9047833333,56
,1,子どもの公園,観音町子どもの広場,河井町5部,,,,,37.3942944444,136.907725,360
,1,子どもの公園,弥生町第２子どもの広場,河井町6部35-42,,,,,37.3934666667,136.9112111111,60.6
,1,子どもの公園,弥生町第１子どもの広場,河井町6部87-12,,,,,37.3936416667,136.9126611111,220.56
,1,子どもの公園,名舟町子どもの広場（旧名舟小学校）,名舟町ト1-1,,,,,37.4326027778,137.0186805556,200
,1,子どもの公園,大倉公園,町野町大川七43番1,,,,,37.4426,137.0702138889,1819.75
,1,子どもの公園,町野公園,町野町鈴屋イ2,,,,,37.4256638889,137.0893361111,3761.14
